id,is_humor,humor_rating,humor_mechanism,humor_target
tweet30110,1,2.4101317,wordplay,
tweet30111,1,2.4931543,misunderstanding,
tweet30112,1,1.8552487,,
tweet30113,1,1.7585632,,women
tweet30114,1,2.4099636,exaggeration,
tweet30115,1,1.9640474,absurd,
tweet30116,1,2.0076587,misunderstanding,age
tweet30117,0,0.0,,
tweet30118,0,0.0,,
tweet30119,0,0.0,wordplay,
tweet30120,0,0.0,wordplay,age
tweet30121,0,0.0,,
tweet30122,0,0.0,,
tweet30123,1,2.1348224,wordplay,
tweet30124,0,0.0,,
tweet30125,0,0.0,,
tweet30126,0,0.0,,
tweet30127,1,2.4072788,embarrassment,
tweet30128,0,0.0,,
tweet30129,0,0.0,,
tweet30130,1,2.40997,,
tweet30131,0,0.0,,
tweet30132,0,0.0,,
tweet30133,0,0.0,,
tweet30134,0,0.0,,
tweet30135,0,0.0,,
tweet30136,1,2.538048,,
tweet30137,0,0.0,,
tweet30138,0,0.0,,
tweet30139,1,2.538224,,
tweet30140,0,0.0,,
tweet30141,0,0.0,absurd,
tweet30142,0,0.0,reference,
tweet30143,0,0.0,,
tweet30144,1,2.1470094,,professions
tweet30145,0,0.0,,
tweet30146,0,0.0,,self-deprecating
tweet30147,0,0.0,,
tweet30148,0,0.0,,
tweet30149,0,0.0,,age
tweet30150,1,1.9723768,reference,
tweet30151,1,2.1347835,wordplay,
tweet30152,0,0.0,,
tweet30153,0,0.0,,
tweet30154,1,2.134543,,
tweet30155,1,1.7582178,wordplay,
tweet30156,1,2.1348615,,
tweet30157,0,0.0,,
tweet30158,1,2.1144905,,
tweet30159,0,0.0,analogy,
tweet30160,1,2.2378802,wordplay,professions
tweet30161,0,0.0,,
tweet30162,0,0.0,,
tweet30163,1,2.238392,unmasking,
tweet30164,0,0.0,,
tweet30165,1,1.7582275,reference,
tweet30166,0,0.0,,
tweet30167,0,0.0,absurd,
tweet30168,1,2.0497084,,
tweet30169,1,1.9635174,wordplay,
tweet30170,1,1.8544427,,technology
tweet30171,0,0.0,,
tweet30172,1,2.5376039,,professions
tweet30173,0,0.0,,
tweet30174,0,0.0,stereotype,
tweet30175,1,2.13533,exaggeration,
tweet30176,0,0.0,,
tweet30177,1,2.1331239,exaggeration,health
tweet30178,1,1.9681515,,
tweet30179,0,0.0,embarrassment,family/relationships
tweet30180,0,0.0,,
tweet30181,0,0.0,reference,
tweet30182,1,2.5909216,,professions
tweet30183,1,2.506543,wordplay,
tweet30184,0,0.0,,
tweet30185,0,0.0,,
tweet30186,1,2.1348705,,age
tweet30187,0,0.0,,
tweet30188,1,2.1351237,,
tweet30189,1,2.2271702,exaggeration,
tweet30190,0,0.0,,
tweet30191,1,1.8593668,misunderstanding,
tweet30192,0,0.0,,
tweet30193,0,0.0,,
tweet30194,1,1.7576691,,
tweet30195,0,0.0,stereotype,professions
tweet30196,0,0.0,,
tweet30197,0,0.0,,
tweet30198,1,2.2274356,,
tweet30199,1,1.9789847,misunderstanding,men
tweet30200,0,0.0,wordplay,
tweet30201,1,2.2266126,misunderstanding,
tweet30202,0,0.0,,professions
tweet30203,1,2.0088985,misunderstanding,substance use
tweet30204,0,0.0,,
tweet30205,1,2.227143,exaggeration,social status
tweet30206,0,0.0,,
tweet30207,1,2.3693078,misunderstanding,
tweet30208,0,0.0,,
tweet30209,1,2.226614,wordplay,professions
tweet30210,0,0.0,,
tweet30211,0,0.0,,
tweet30212,1,1.8593903,misunderstanding,
tweet30213,0,0.0,,
tweet30214,0,0.0,,
tweet30215,1,1.9744517,misunderstanding,professions
tweet30216,1,2.4099803,wordplay,
tweet30217,0,0.0,,
tweet30218,0,0.0,,
tweet30219,0,0.0,,
tweet30220,1,1.9286737,,professions
tweet30221,1,1.992579,irony,women
tweet30222,0,0.0,,
tweet30223,0,0.0,,
tweet30224,1,2.0094457,misunderstanding,religion
tweet30225,0,0.0,,
tweet30226,0,0.0,,
tweet30227,0,0.0,,
tweet30228,1,2.2307513,,professions
tweet30229,0,0.0,,
tweet30230,0,0.0,,
tweet30231,0,0.0,,age
tweet30232,0,0.0,,
tweet30233,0,0.0,,
tweet30234,1,1.9720453,parody,professions
tweet30235,1,2.226606,wordplay,men
tweet30236,1,2.1303651,absurd,health
tweet30237,1,2.2266166,absurd,family/relationships
tweet30238,0,0.0,,
tweet30239,0,0.0,,
tweet30240,0,0.0,,
tweet30241,1,2.007686,misunderstanding,women
tweet30242,0,0.0,,
tweet30243,0,0.0,,
tweet30244,0,0.0,,
tweet30245,1,2.0092437,,professions
tweet30246,0,0.0,,
tweet30247,0,0.0,,
tweet30248,0,0.0,,
tweet30249,0,0.0,,
tweet30250,0,0.0,,
tweet30251,1,1.9967756,,women
tweet30252,0,0.0,,
tweet30253,1,1.7582165,,
tweet30254,0,0.0,,
tweet30255,1,1.7573279,reference,
tweet30256,0,0.0,,
tweet30257,0,0.0,,
tweet30258,0,0.0,,
tweet30259,0,0.0,,self-deprecating
tweet30260,0,0.0,,
tweet30261,0,0.0,,
tweet30262,1,2.13524,,
tweet30263,0,0.0,,
tweet30264,0,0.0,,
tweet30265,0,0.0,,
tweet30266,1,2.2266655,wordplay,
tweet30267,0,0.0,,
tweet30268,0,0.0,,
tweet30269,0,0.0,reference,
tweet30270,1,2.2245767,,
tweet30271,1,1.9351584,misunderstanding,age
tweet30272,0,0.0,,
tweet30273,1,1.7464017,unmasking,
tweet30274,1,1.9420933,embarrassment,body shaming
tweet30275,0,0.0,,
tweet30276,1,2.410072,absurd,
tweet30277,0,0.0,,
tweet30278,0,0.0,,
tweet30279,0,0.0,,
tweet30280,1,1.9779593,exaggeration,
tweet30281,1,2.2267063,irony,
tweet30282,0,0.0,,
tweet30283,0,0.0,,
tweet30284,1,1.9672064,,
tweet30285,1,1.7582296,analogy,women
tweet30286,0,0.0,exaggeration,
tweet30287,0,0.0,,
tweet30288,0,0.0,,
tweet30289,0,0.0,,
tweet30290,0,0.0,,
tweet30291,0,0.0,,
tweet30292,1,1.7582202,unmasking,
tweet30293,1,2.5911696,wordplay,
tweet30294,0,0.0,,
tweet30295,1,2.5382235,wordplay,ethnicity/origin
tweet30296,1,2.3390203,unmasking,professions
tweet30297,0,0.0,,
tweet30298,1,1.9641907,stereotype,
tweet30299,1,2.018133,wordplay,health
tweet30300,1,2.2265143,,
tweet30301,0,0.0,,
tweet30302,1,1.7582334,irony,
tweet30303,1,1.7582289,irony,lgbt
tweet30304,0,0.0,absurd,
tweet30305,1,2.2367477,,
tweet30306,0,0.0,,
tweet30307,0,0.0,,
tweet30308,1,2.0100486,exaggeration,
tweet30309,1,1.7582316,embarrassment,lgbt
tweet30310,1,2.5540986,wordplay,substance use
tweet30311,1,2.1596255,,
tweet30312,0,0.0,,
tweet30313,0,0.0,,
tweet30314,0,0.0,,
tweet30315,1,2.01386,,
tweet30316,1,2.2265522,wordplay,
tweet30317,1,2.5654516,analogy,
tweet30318,1,1.8529067,absurd,
tweet30319,0,0.0,,
tweet30320,0,0.0,,
tweet30321,0,0.0,exaggeration,
tweet30322,1,2.0746713,misunderstanding,age
tweet30323,1,2.1347618,irony,age
tweet30324,0,0.0,,
tweet30325,0,0.0,exaggeration,
tweet30326,0,0.0,absurd,
tweet30327,0,0.0,,
tweet30328,1,2.226604,,professions
tweet30329,0,0.0,,
tweet30330,1,2.5911658,absurd,
tweet30331,0,0.0,,
tweet30332,1,1.9705789,misunderstanding,professions
tweet30333,1,1.8630981,wordplay,
tweet30334,0,0.0,,
tweet30335,0,0.0,,self-deprecating
tweet30336,1,1.9659543,,
tweet30337,0,0.0,,
tweet30338,1,2.1332364,embarrassment,
tweet30339,1,1.9754224,,
tweet30340,1,2.222781,,
tweet30341,0,0.0,,
tweet30342,0,0.0,,
tweet30343,0,0.0,,
tweet30344,1,1.9736706,,professions
tweet30345,0,0.0,,
tweet30346,0,0.0,exaggeration,
tweet30347,1,2.2296455,,age
tweet30348,1,2.0015576,,
tweet30349,1,2.4101698,misunderstanding,
tweet30350,1,1.9686737,embarrassment,
tweet30351,0,0.0,,
tweet30352,1,2.2265959,analogy,
tweet30353,1,1.7443494,unmasking,women
tweet30354,1,1.9602566,wordplay,
tweet30355,1,2.1588109,wordplay,
tweet30356,0,0.0,,
tweet30357,0,0.0,wordplay,
tweet30358,0,0.0,,
tweet30359,1,2.4099834,exaggeration,
tweet30360,0,0.0,,
tweet30361,1,2.3370252,,
tweet30362,1,2.1348698,unmasking,age
tweet30363,0,0.0,,
tweet30364,1,2.3236716,wordplay,
tweet30365,1,1.7582437,stereotype,
tweet30366,1,2.4097066,,
tweet30367,1,2.4059663,irony,professions
tweet30368,0,0.0,,
tweet30369,1,2.5267532,analogy,
tweet30370,1,2.138641,,
tweet30371,1,1.8613186,,
tweet30372,1,2.1350524,unmasking,sexual aggressors
tweet30373,1,2.0064676,misunderstanding,professions
tweet30374,0,0.0,,
tweet30375,1,2.1348543,,
tweet30376,1,2.4469614,analogy,
tweet30377,0,0.0,reference,
tweet30378,1,1.9604903,misunderstanding,
tweet30379,1,2.215086,,
tweet30380,0,0.0,,
tweet30381,0,0.0,,
tweet30382,1,2.2244012,wordplay,
tweet30383,1,1.8527547,,social status
tweet30384,1,2.409931,misunderstanding,body shaming
tweet30385,0,0.0,,
tweet30386,1,2.2305648,wordplay,professions
tweet30387,1,2.1348624,wordplay,professions
tweet30388,0,0.0,,
tweet30389,0,0.0,,
tweet30390,0,0.0,,
tweet30391,0,0.0,,
tweet30392,1,2.4099872,absurd,professions
tweet30393,1,1.9976671,exaggeration,professions
tweet30394,1,2.0096545,absurd,
tweet30395,0,0.0,,
tweet30396,1,2.4099736,exaggeration,professions
tweet30397,1,2.1348608,unmasking,self-deprecating
tweet30398,0,0.0,wordplay,
tweet30399,0,0.0,,
tweet30400,1,2.3965595,,
tweet30401,1,1.8548208,wordplay,
tweet30402,1,1.9761059,reference,
tweet30403,1,1.7582474,absurd,professions
tweet30404,0,0.0,,
tweet30405,1,1.9652385,,
tweet30406,1,2.0098307,,
tweet30407,1,2.3205965,,professions
tweet30408,0,0.0,reference,
tweet30409,0,0.0,,
tweet30410,0,0.0,,
tweet30411,0,0.0,,
tweet30412,1,1.6084367,unmasking,lgbt
tweet30413,0,0.0,,
tweet30414,0,0.0,,
tweet30415,1,2.000339,,family/relationships
tweet30416,0,0.0,unmasking,
tweet30417,0,0.0,,
tweet30418,0,0.0,wordplay,professions
tweet30419,1,2.226896,irony,
tweet30420,1,2.3723135,exaggeration,family/relationships
tweet30421,0,0.0,,
tweet30422,0,0.0,,
tweet30423,1,1.9580698,,
tweet30424,1,2.0096421,,
tweet30425,0,0.0,,
tweet30426,0,0.0,wordplay,
tweet30427,0,0.0,,
tweet30428,0,0.0,,
tweet30429,0,0.0,analogy,
tweet30430,0,0.0,,
tweet30431,1,2.4099662,wordplay,
tweet30432,0,0.0,,
tweet30433,0,0.0,,
tweet30434,0,0.0,,
tweet30435,1,2.1348767,,women
tweet30436,0,0.0,,
tweet30437,0,0.0,,
tweet30438,1,1.9997844,,
tweet30439,1,2.5911615,irony,
tweet30440,1,2.3104732,,
tweet30441,0,0.0,,
tweet30442,1,1.9954629,wordplay,
tweet30443,0,0.0,,
tweet30444,1,1.7617579,,
tweet30445,0,0.0,,
tweet30446,0,0.0,,
tweet30447,0,0.0,reference,
tweet30448,1,2.4254048,,family/relationships
tweet30449,1,2.1370158,,
tweet30450,1,2.2194784,unmasking,
tweet30451,1,2.1230447,stereotype,men
tweet30452,0,0.0,,
tweet30453,0,0.0,,
tweet30454,0,0.0,,
tweet30455,0,0.0,exaggeration,
tweet30456,0,0.0,,
tweet30457,0,0.0,,
tweet30458,0,0.0,,
tweet30459,0,0.0,,
tweet30460,0,0.0,,
tweet30461,1,1.608434,misunderstanding,ethnicity/origin
tweet30462,0,0.0,,
tweet30463,1,2.1323633,,
tweet30464,0,0.0,,
tweet30465,0,0.0,,
tweet30466,0,0.0,,
tweet30467,0,0.0,,
tweet30468,0,0.0,,
tweet30469,1,2.0885298,,
tweet30470,1,2.1230333,wordplay,
tweet30471,0,0.0,,
tweet30472,0,0.0,,
tweet30473,1,1.8517869,insults,men
tweet30474,1,2.0090537,,
tweet30475,0,0.0,wordplay,
tweet30476,1,2.134868,analogy,women
tweet30477,1,2.0096254,,
tweet30478,0,0.0,,
tweet30479,1,2.134433,irony,
tweet30480,0,0.0,,
tweet30481,1,2.0712686,embarrassment,
tweet30482,1,1.970824,,body shaming
tweet30483,0,0.0,,
tweet30484,1,2.2266042,wordplay,age
tweet30485,0,0.0,,
tweet30486,1,2.4099655,,
tweet30487,0,0.0,,
tweet30488,0,0.0,absurd,
tweet30489,0,0.0,,age
tweet30490,0,0.0,,
tweet30491,1,2.1156995,reference,
tweet30492,0,0.0,,
tweet30493,1,1.6084242,,
tweet30494,1,2.462113,unmasking,
tweet30495,0,0.0,,
tweet30496,0,0.0,,
tweet30497,1,2.294299,wordplay,professions
tweet30498,1,1.953948,,
tweet30499,0,0.0,irony,women
tweet30500,1,1.7582543,wordplay,
tweet30501,1,1.9781619,misunderstanding,ethnicity/origin
tweet30502,0,0.0,,
tweet30503,0,0.0,exaggeration,
tweet30504,1,2.2265875,embarrassment,health
tweet30505,1,2.1348343,analogy,men
tweet30506,0,0.0,,
tweet30507,0,0.0,,
tweet30508,0,0.0,,
tweet30509,1,2.1873605,,
tweet30510,0,0.0,,
tweet30511,1,1.9717312,embarrassment,lgbt
tweet30512,1,1.9694406,wordplay,
tweet30513,1,2.2266517,,professions
tweet30514,1,2.2269032,,
tweet30515,0,0.0,,
tweet30516,1,2.534859,wordplay,ethnicity/origin
tweet30517,0,0.0,reference,
tweet30518,1,2.0302658,stereotype,men
tweet30519,1,1.7420398,,
tweet30520,0,0.0,,
tweet30521,1,2.2101839,absurd,
tweet30522,0,0.0,,
tweet30523,0,0.0,,
tweet30524,1,2.4100027,,
tweet30525,0,0.0,,
tweet30526,1,2.4099863,misunderstanding,
tweet30527,0,0.0,reference,
tweet30528,0,0.0,,
tweet30529,0,0.0,,
tweet30530,1,2.539081,misunderstanding,age
tweet30531,1,2.0074298,,women
tweet30532,0,0.0,,
tweet30533,1,1.9657,wordplay,
tweet30534,0,0.0,,
tweet30535,0,0.0,,
tweet30536,0,0.0,,
tweet30537,0,0.0,,
tweet30538,1,2.1441197,,technology
tweet30539,1,1.7580453,,
tweet30540,0,0.0,,
tweet30541,0,0.0,,
tweet30542,0,0.0,,
tweet30543,0,0.0,,
tweet30544,0,0.0,,family/relationships
tweet30545,0,0.0,,
tweet30546,0,0.0,,
tweet30547,0,0.0,,
tweet30548,0,0.0,,
tweet30549,1,2.584602,irony,professions
tweet30550,0,0.0,,
tweet30551,0,0.0,,self-deprecating
tweet30552,0,0.0,,
tweet30553,1,1.9685991,exaggeration,
tweet30554,1,2.1348984,,professions
tweet30555,0,0.0,,
tweet30556,0,0.0,,
tweet30557,1,1.9670022,,ethnicity/origin
tweet30558,1,2.3041193,wordplay,family/relationships
tweet30559,1,2.4099395,,
tweet30560,1,2.22573,irony,
tweet30561,1,2.2344444,wordplay,
tweet30562,1,1.9670792,,self-deprecating
tweet30563,1,1.853077,absurd,
tweet30564,1,2.1347554,,
tweet30565,0,0.0,,
tweet30566,0,0.0,,
tweet30567,1,2.195376,wordplay,
tweet30568,1,2.4100437,misunderstanding,age
tweet30569,0,0.0,stereotype,
tweet30570,0,0.0,,
tweet30571,0,0.0,,
tweet30572,0,0.0,,
tweet30573,0,0.0,,
tweet30574,0,0.0,,
tweet30575,0,0.0,,
tweet30576,1,2.4099708,,
tweet30577,1,2.134847,,
tweet30578,0,0.0,exaggeration,
tweet30579,0,0.0,,
tweet30580,0,0.0,,
tweet30581,0,0.0,,
tweet30582,0,0.0,,
tweet30583,1,1.6100731,,
tweet30584,1,2.230122,wordplay,
tweet30585,1,2.0086374,absurd,professions
tweet30586,1,1.758229,wordplay,men
tweet30587,0,0.0,,
tweet30588,0,0.0,,
tweet30589,0,0.0,,
tweet30590,0,0.0,,
tweet30591,0,0.0,,
tweet30592,0,0.0,,
tweet30593,0,0.0,,
tweet30594,1,1.7583836,unmasking,
tweet30595,0,0.0,parody,
tweet30596,1,2.4979515,irony,sexual aggressors
tweet30597,0,0.0,,
tweet30598,0,0.0,absurd,
tweet30599,1,2.2265913,,
tweet30600,0,0.0,absurd,
tweet30601,0,0.0,,
tweet30602,1,2.3134866,analogy,technology
tweet30603,1,2.1770048,,
tweet30604,0,0.0,,
tweet30605,1,2.4088392,,
tweet30606,1,2.1348116,absurd,family/relationships
tweet30607,1,1.7582291,,
tweet30608,0,0.0,,
tweet30609,1,2.014144,analogy,
tweet30610,0,0.0,,
tweet30611,1,1.9492863,absurd,family/relationships
tweet30612,0,0.0,unmasking,
tweet30613,1,1.9700588,,
tweet30614,0,0.0,,
tweet30615,1,1.6084358,irony,
tweet30616,1,2.415045,,
tweet30617,1,2.4099777,wordplay,women
tweet30618,0,0.0,,
tweet30619,0,0.0,,
tweet30620,0,0.0,,
tweet30621,1,2.0070698,irony,age
tweet30622,1,2.2264655,,
tweet30623,1,2.2266116,wordplay,
tweet30624,0,0.0,,
tweet30625,1,2.1419103,misunderstanding,ethnicity/origin
tweet30626,1,2.409947,wordplay,
tweet30627,0,0.0,,
tweet30628,0,0.0,,
tweet30629,1,2.222667,,
tweet30630,1,2.0143654,unmasking,age
tweet30631,1,2.409732,misunderstanding,sexual aggressors
tweet30632,0,0.0,,
tweet30633,0,0.0,,
tweet30634,0,0.0,,
tweet30635,0,0.0,wordplay,professions
tweet30636,1,2.5381923,exaggeration,
tweet30637,0,0.0,,
tweet30638,0,0.0,reference,
tweet30639,0,0.0,absurd,
tweet30640,1,2.0106313,wordplay,
tweet30641,0,0.0,,
tweet30642,1,2.1348767,embarrassment,
tweet30643,0,0.0,exaggeration,
tweet30644,1,1.8547696,unmasking,
tweet30645,0,0.0,,
tweet30646,1,2.550391,parody,
tweet30647,1,1.6726223,,women
tweet30648,1,2.4099648,wordplay,
tweet30649,0,0.0,,women
tweet30650,0,0.0,absurd,
tweet30651,1,1.7582278,absurd,
tweet30652,0,0.0,,
tweet30653,1,2.541252,,
tweet30654,0,0.0,,
tweet30655,0,0.0,,
tweet30656,1,2.1347015,,
tweet30657,0,0.0,,
tweet30658,0,0.0,,
tweet30659,0,0.0,,
tweet30660,1,1.7582285,,body shaming
tweet30661,1,1.9509095,unmasking,
tweet30662,1,2.026441,,social status
tweet30663,0,0.0,,
tweet30664,1,2.2029521,absurd,
tweet30665,0,0.0,,
tweet30666,0,0.0,,
tweet30667,1,1.8529651,,professions
tweet30668,0,0.0,,
tweet30669,0,0.0,,
tweet30670,0,0.0,,
tweet30671,1,1.6108254,,
tweet30672,0,0.0,,
tweet30673,1,1.8586022,exaggeration,body shaming
tweet30674,0,0.0,,
tweet30675,1,2.135475,wordplay,
tweet30676,0,0.0,,
tweet30677,1,1.6084305,parody,professions
tweet30678,1,1.8649278,,
tweet30679,0,0.0,,
tweet30680,1,2.2265894,,
tweet30681,0,0.0,,
tweet30682,0,0.0,,
tweet30683,0,0.0,,
tweet30684,1,2.1352675,absurd,
tweet30685,0,0.0,,
tweet30686,0,0.0,,
tweet30687,0,0.0,,
tweet30688,1,2.4099936,absurd,
tweet30689,0,0.0,,
tweet30690,0,0.0,,self-deprecating
tweet30691,1,2.1348329,,
tweet30692,0,0.0,,
tweet30693,1,1.7582643,absurd,
tweet30694,0,0.0,reference,
tweet30695,1,2.1346724,embarrassment,
tweet30696,1,1.7582285,wordplay,professions
tweet30697,1,2.246298,analogy,
tweet30698,0,0.0,,
tweet30699,0,0.0,exaggeration,
tweet30700,1,2.538194,misunderstanding,family/relationships
tweet30701,1,2.3861735,exaggeration,
tweet30702,0,0.0,,
tweet30703,1,2.1224322,misunderstanding,professions
tweet30704,0,0.0,,
tweet30705,1,2.280121,misunderstanding,men
tweet30706,1,2.3200033,,professions
tweet30707,0,0.0,,
tweet30708,0,0.0,,
tweet30709,0,0.0,,
tweet30710,0,0.0,,
tweet30711,1,2.1383271,,
tweet30712,1,2.2266386,misunderstanding,substance use
tweet30713,0,0.0,,
tweet30714,0,0.0,,
tweet30715,1,2.4070513,wordplay,
tweet30716,1,2.1355703,,family/relationships
tweet30717,1,1.9780627,analogy,professions
tweet30718,1,1.6084287,insults,women
tweet30719,0,0.0,,
tweet30720,1,2.1103036,misunderstanding,
tweet30721,1,2.447699,wordplay,
tweet30722,1,1.920947,wordplay,
tweet30723,0,0.0,,
tweet30724,0,0.0,,
tweet30725,1,2.3363574,wordplay,women
tweet30726,0,0.0,,
tweet30727,0,0.0,,
tweet30728,0,0.0,wordplay,
tweet30729,1,2.143615,misunderstanding,
tweet30730,0,0.0,,
tweet30731,0,0.0,,
tweet30732,1,1.9693401,,
tweet30733,0,0.0,,
tweet30734,0,0.0,,
tweet30735,1,2.5361547,misunderstanding,age
tweet30736,1,1.7582422,,
tweet30737,0,0.0,,
tweet30738,1,2.1362684,,professions
tweet30739,0,0.0,,
tweet30740,0,0.0,,
tweet30741,0,0.0,,
tweet30742,1,2.2270763,wordplay,
tweet30743,0,0.0,,
tweet30744,0,0.0,analogy,
tweet30745,0,0.0,,
tweet30746,0,0.0,,
tweet30747,1,2.4099743,,
tweet30748,0,0.0,,
tweet30749,0,0.0,,
tweet30750,1,1.8538419,misunderstanding,
tweet30751,0,0.0,,
tweet30752,1,1.851057,misunderstanding,
tweet30753,0,0.0,,
tweet30754,0,0.0,,
tweet30755,1,1.988485,irony,
tweet30756,0,0.0,exaggeration,
tweet30757,0,0.0,,
tweet30758,0,0.0,,
tweet30759,0,0.0,,
tweet30760,0,0.0,wordplay,
tweet30761,1,1.9980594,analogy,
tweet30762,0,0.0,,
tweet30763,0,0.0,,
tweet30764,1,1.7629671,,
tweet30765,1,2.147869,wordplay,technology
tweet30766,0,0.0,,
tweet30767,0,0.0,,
tweet30768,0,0.0,wordplay,
tweet30769,0,0.0,,
tweet30770,1,2.5265791,,
tweet30771,0,0.0,,
tweet30772,1,1.992242,irony,
tweet30773,0,0.0,,
tweet30774,0,0.0,analogy,
tweet30775,1,1.7896149,irony,
tweet30776,0,0.0,,
tweet30777,1,1.9879303,,women
tweet30778,1,1.6109271,exaggeration,
tweet30779,0,0.0,,
tweet30780,0,0.0,,
tweet30781,0,0.0,,professions
tweet30782,1,2.0095556,,
tweet30783,0,0.0,,
tweet30784,0,0.0,,
tweet30785,0,0.0,,
tweet30786,0,0.0,,professions
tweet30787,1,2.2273993,wordplay,
tweet30788,1,1.9668123,,self-deprecating
tweet30789,0,0.0,,
tweet30790,1,2.1382363,stereotype,
tweet30791,0,0.0,,
tweet30792,0,0.0,,
tweet30793,0,0.0,,
tweet30794,1,1.7582546,misunderstanding,
tweet30795,0,0.0,,
tweet30796,1,2.4099882,,
tweet30797,0,0.0,wordplay,
tweet30798,0,0.0,,
tweet30799,1,2.228876,wordplay,
tweet30800,1,2.298577,,professions
tweet30801,0,0.0,,
tweet30802,1,2.4174333,unmasking,family/relationships
tweet30803,1,2.407998,wordplay,professions
tweet30804,1,1.9690529,,
tweet30805,1,2.1343966,,
tweet30806,0,0.0,unmasking,self-deprecating
tweet30807,1,1.9728404,irony,professions
tweet30808,1,1.7596473,insults,
tweet30809,0,0.0,,
tweet30810,0,0.0,,
tweet30811,0,0.0,wordplay,
tweet30812,0,0.0,,
tweet30813,0,0.0,absurd,
tweet30814,0,0.0,,
tweet30815,1,2.318478,absurd,
tweet30816,0,0.0,,
tweet30817,0,0.0,,
tweet30818,1,2.221577,wordplay,
tweet30819,1,1.9763138,parody,
tweet30820,1,2.0085385,,
tweet30821,0,0.0,reference,
tweet30822,0,0.0,,women
tweet30823,1,2.4113097,,
tweet30824,0,0.0,wordplay,
tweet30825,0,0.0,,
tweet30826,0,0.0,,
tweet30827,1,1.7581995,embarrassment,
tweet30828,0,0.0,wordplay,professions
tweet30829,0,0.0,,
tweet30830,1,2.0090296,,self-deprecating
tweet30831,1,1.9374228,parody,body shaming
tweet30832,0,0.0,,
tweet30833,1,1.9624529,,
tweet30834,0,0.0,wordplay,
tweet30835,0,0.0,,
tweet30836,1,2.1343553,,
tweet30837,0,0.0,analogy,
